rank,score,dataset_name,file_extension,size_kb,department_names,request_id,request_url,document_download_url,is_open_data_duplicate,duplicate_of,reasons
276,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,43.7,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751586/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
277,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,47.9,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751595/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
278,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,49.3,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751707/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
279,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,49.0,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751732/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
280,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,47.4,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751815/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
281,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,49.9,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750734/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
282,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,47.3,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750814/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
283,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,45.5,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750829/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
284,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,48.6,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750851/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
285,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,45.0,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750868/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
